"","company","reviewer","date","rate","comment"
"1","APPLE","Christoph",2023-03-20,"1","Credit card fraud not refunded"
"2","APPLE","Abimbola Bamikole",2023-01-04,"1","If you like beautiful pictures don’t buy iPhone 14"
"3","APPLE","noreen darragh",2023-03-19,"1","This Company is so annoying"
"4","APPLE","Henry Pearce",2023-03-20,"1","AWFUL !!"
"5","APPLE","Janet Wright",2023-03-16,"1","I am extremely dissapointed by Apple"
"6","APPLE","Ice House Design",2023-03-15,"1","Still look great but wow, they're an awful co."
"7","APPLE","Rob Leroy",2023-03-18,"1","Just can never resolve their issues"
"8","APPLE","wizard",2023-03-14,"1","Awful call centre IT system!"
"9","APPLE","Nicole Sireci",2023-03-17,"1","Customer service is horrible"
"10","APPLE","Paul Morgan",2023-03-14,"1","Ipad keyboard a disaster"
"11","APPLE","Dave",2023-03-14,"1","Dreadful service"
"12","APPLE","Charlotte",2023-03-11,"1","Taking awful service to whole new depths."
"13","APPLE","nets",2023-03-16,"1","Horrible service"
"14","APPLE","Elizabeth",2023-02-06,"1","Did not receive an order I paid for…"
"15","APPLE","Nik Nic",2023-03-13,"1","Apple refund policy not transparent Bought a new replacement ear pod…"
"16","APPLE","Gina",2023-03-14,"5","Gray from Apple"
"17","APPLE","Donald",2023-03-10,"1","No refund"
"18","APPLE","Ernest Kephalas",2023-03-16,"1","Money Not Customer"
"19","APPLE","Mark Collins",2023-03-13,"1","I've tried now for almost 3 months to…"
"20","APPLE","Shelley Scothorne",2023-03-16,"1","DO NOT Buy Apple Products"
"21","APPLE","MCM",2023-03-08,"1","Apple are being dodgy with the battery"
"22","APPLE","Jennifer  Monroe",2023-03-02,"3","New IPhone 14"
"23","APPLE","Maria Tajman",2023-03-04,"1","iphone nightmare !!"
"24","APPLE","Steve A",2023-03-14,"1","Think it's ok for their products to break after just a few years"
"25","APPLE","customer",2023-03-10,"1","Sarcastic attitude and never came back to me"
"26","APPLE","Diana",2023-03-08,"1","Macbook software not compatible with Canon"
"27","APPLE","SteveB",2023-03-10,"1","Apple Maps can’t report issues"
"28","APPLE","Heather Stuart",2023-03-09,"1","Worst customer service ever and they call themselves Geniuses …it’s a joke This  is a review of 6 weeks of…"
"29","APPLE","cinch customer",2023-02-04,"1","The worst online experience I have ever…"
"30","APPLE","Stan",2023-03-02,"5","I have been a chronic iphone destroyer"
"31","APPLE","Paul H",2023-03-05,"1","A disgusting arogant company with one…"
"32","APPLE","Sunny",2023-03-17,"1","Apple sucks"
"33","APPLE","Angie Meades",2023-03-03,"1","Margie in the corporate office was very…"
"34","APPLE","Scott Braun",2023-03-05,"1","What an absolutely ridiculous purchase process"
"35","APPLE","Mary Benjamin",2023-03-03,"1","So I had the dissatisfaction of talking…"
"36","APPLE","andrecudiongina",2023-02-15,"4","I am thrilled about using the iPhone…"
"37","APPLE","Muhammad Bhuiyan",2023-03-17,"1","TERRIBLE"
"38","APPLE","Christine Leakos",2023-02-01,"1","Horrible and a Rip-off"
"39","APPLE","Mrs Christina Davies",2023-03-06,"5","Superb Customer Service & Technical Help"
"40","APPLE","Thomas Sams",2023-03-06,"1","Customer Service is TRASH"
"41","APPLE","Otto Soevig",2023-01-08,"5","I love that"
"42","APPLE","Thomas Palermo",2023-03-03,"1","I bought a new Iphone through Verizon…"
"43","APPLE","Kacey Berge",2023-03-01,"4","I've been using Apple products for…"
"44","APPLE","Jack Milers",2023-03-04,"1","GET AN ANDROID!"
"45","APPLE","Elliott Von",2023-03-03,"4","Apple products are top-of-the-line both…"
"46","APPLE","BB",2023-02-28,"1","I would give this company o"
"47","APPLE","Laurie",2023-03-06,"1","my fall detection failed"
"48","APPLE","John Y",2023-02-25,"1","Spend £1200 on a Imac in 2019"
"49","APPLE","Deborah Herchelroath",2023-03-03,"1","Don't keep scheduled appointments"
"50","APPLE","darren perry",2023-02-28,"1","STOP BUYING THEIR PRODUCTS"
"51","APPLE","Jenny Stevens",2023-03-07,"1","IPadPro too HEAVY!"
"52","APPLE","Arturo Heller",2023-03-02,"2","I recently purchased an Apple product…"
"53","APPLE","Gary H",2023-02-22,"1","Will Never Buy Apple Products Again"
"54","APPLE","Susan Fulton",2023-02-23,"1","I will NEVER purchase another Apple…"
"55","APPLE","abhi jaggus",2023-01-27,"1","mentioned a student apple music…"
"56","APPLE","Andy Roberts",2023-02-21,"1","Absolutely disgusted"
"57","APPLE","Tilda Goodman",2023-02-22,"4","Exceptional Personalised Tech Support from Apple"
"58","APPLE","Kyrie West",2023-02-14,"1","Apple Support Sucks 👎"
"59","APPLE","Krystian Podsiadły",2023-03-02,"2","I’m a Apple user for many years"
"60","APPLE","Alexander Toth",2022-07-15,"5","Amazing products"
"61","APPLE","Willie",2023-02-16,"1","I hope to save someone money and…"
"62","APPLE","Miguel Dominguez",2023-02-17,"1","come and get your portion."
"63","APPLE","Miss Liza Georgiou",2023-02-23,"2","Trade in process is a shambles"
"64","APPLE","Arsis Fruritch",2022-12-22,"1","iPhone 12 Pro Max with…"
"65","APPLE","David Doucet",2023-03-05,"1","Apple is now garbage"
"66","APPLE","Amadeus-Robert Golea",2023-02-24,"1","This phone is a waste of money"
"67","APPLE","elizabeth coyne",2023-02-23,"1","ipad os 16.3.1"
"68","APPLE","Samuel",2023-02-17,"1","Disappointed in Apple Watch"
"69","APPLE","Sean",2023-02-16,"1","Choose Sonos over HomePod"
"70","APPLE","Customer",2023-02-09,"1","The Apple Store is completely unreliable"
"71","APPLE","Colton Ledner",2023-02-17,"4","I've had a positive experience with…"
"72","APPLE","Kat Marcotte",2023-02-14,"1","Repeatedly tried to deliver in the middle of a work day when I'm not home to sign and won't let me just pick it up."
"73","APPLE","G E",2023-02-09,"1","Apple has no complaints or escalation process"
"74","APPLE","MD private purchaser",2023-02-15,"1","UPDATES ARE A JOKE."
"75","APPLE","Lav",2023-02-05,"2","Terrible management of Apple Apps of…"
"76","APPLE","WESLEY BURGESS",2023-02-14,"1","The iPhone 14 pro has the most…"
"77","APPLE","qwerty keyboard",2023-01-11,"3","The best, and worst, phones."
"78","APPLE","patricia wack",2023-02-17,"1","Apple iphone 11 has gone balck screen…"
"79","APPLE","Brian CLUER",2023-02-11,"2","Macair gave serious trouble"
"80","APPLE","Shirl Harwood Baker",2023-03-04,"2","I have been a dedicated Apple user…"
"81","APPLE","Beezus Faffoon",2023-02-24,"1","Overcharged me for an item"
"82","APPLE","Herman",2023-02-09,"1","After DECADES of Apple worship"
"83","APPLE","Susan Burke",2023-02-18,"1","Express Replacement is an Apple scam"
"84","APPLE","NG",2023-02-18,"4","Overhyped, decent quality, good customer service"
"85","APPLE","Moe Fareed",2023-02-09,"1","Stranded"
"86","APPLE","Not a Tim Cook fan",2022-10-21,"1","I prefer to give a negative review"
"87","APPLE","Martin D",2023-02-04,"4","Years of quality"
"88","APPLE","Genevieve Herrera",2023-02-06,"1","I ordered an iPad for my daughter’s…"
"89","APPLE","Marlisse Harrison",2023-01-23,"1","Worst iOS update 16.2 EVER APPLE"
"90","APPLE","Spicy Muffin",2023-02-02,"1","Don't buy Apple - Simples"
"91","APPLE","LOUISE C",2023-02-15,"5","Excellent customer service"
"92","APPLE","Diana Peñas",2023-01-19,"5","Excellent customer service support"
"93","APPLE","Brent Reid",2023-01-30,"1","This review is the same redundant about…"
"94","APPLE","Customer",2023-02-14,"5","Ear Buds Pro 2"
"95","APPLE","Mr. Sillingle",2023-02-01,"1","When I call in, I am looking to speak to a person...this is why the telephone was invented...not to speak to A.I. or the internet."
"96","APPLE","jo",2023-02-09,"1","Apple customer service has gone down…"
"97","APPLE","Christina",2023-02-13,"1","Minus one if I can"
"98","APPLE","Max",2023-01-24,"1","I’d rather guide my dad into my mum…"
"99","APPLE","KD Tyfus",2023-01-31,"1","I want you to know that you I have…"
"100","APPLE","Clive Quick",2023-01-29,"2","Substandard Apple iPhone 13 silicone case"
"101","APPLE","Al Rothe",2023-02-11,"3","not worth the trip"
"102","APPLE","Marco Rea",2023-02-10,"1","Shocking"
"103","APPLE","Adam Martin",2023-02-28,"5","Practically flawless"
"104","APPLE","Meg Haller",2023-01-05,"4","I recently changed my iPhone XS Max to…"
"105","APPLE","Jo Be",2023-03-01,"1","APPLE HAVE LOST IT"
"106","APPLE","iku",2023-02-04,"1","unintended refund for my subscription"
"107","APPLE","Carte Duke",2023-01-30,"1","Apple steals your money and tells you…"
"108","APPLE","Max",2023-01-28,"1","iPads last 2 years evidently"
"109","APPLE","kaelee kane",2023-01-22,"5","Sitara was amazing !!"
"110","APPLE","Shafiqur Rahman",2023-02-17,"1","Deplorable customer service"
"111","APPLE","sean",2023-02-01,"5","Still going strong"
"112","APPLE","max bernard",2023-02-19,"1","Apple are making money from people with…"
"113","APPLE","Carl Fair",2023-01-26,"1","Experience was definitely not a good one"
"114","APPLE","Matthew Gammon",2022-01-22,"1","They keep charging me for this stupid…"
"115","APPLE","Sandra Melody",2023-02-28,"1","They purposely slow down their devices to force consumers to buy new ones"
"116","APPLE","Colin",2023-02-07,"1","Apple/itunes"
"117","APPLE","josephine luby",2023-02-03,"1","My daughter’s iPhone 11 was dropped…"
"118","APPLE","Bhurin Srikhirin",2022-03-06,"5","Airpod pro"
"119","APPLE","Heinz Schneider",2023-02-24,"1","Tried to buy a new Iphone 14 pro max at…"
"120","APPLE","baljinder",2023-01-07,"1","I ordered Iphone14 pro max and apple…"
"121","APPLE","Ivan Vidovich",2023-02-17,"1","Haven't had an iPhone  for over a year…"
"122","APPLE","Jeff Kalina",2023-02-01,"1","Josed by Feliciano -More bad Apples"
"123","APPLE","Bonnie",2023-02-16,"1","On 29 Sept 2022 I purchased an iphone…"
"124","APPLE","Cansel Küçükbiçmen",2023-01-31,"1","I was a loyal Apple customer for 10…"
"125","APPLE","Leslie Warren",2023-02-01,"5","I'm in need of outopay"
"126","APPLE","Sydney Hackley",2023-02-04,"1","Came to the Apple Store with a working…"
"127","APPLE","Reviewer",2023-02-03,"2","Apple-Card Payment Headaches"
"128","APPLE","Ethan Risman Ethan",2023-02-06,"1","Crony company"
"129","APPLE","Caroline",2023-02-13,"5","I am totally happy with my Apple…"
"130","APPLE","Darren Angela Speight",2023-02-27,"1","iPhone 14 is garbage .I regret getting…"
"131","APPLE","Sebastian Misztal",2023-02-10,"1","After being a loyal customer for over…"
"132","APPLE","Ro",2022-12-21,"1","The arrogance of Apple"
"133","APPLE","RHYS FORSA",2023-02-18,"1","The most useless phone"
"134","APPLE","Rock N Rolla Promotions",2023-02-05,"1","Apple seriously sucks"
"135","APPLE","Kylie Ware",2023-01-24,"1","Apparently Apple are happy to steal from customers"
"136","APPLE","Alex Almeida",2023-02-08,"1","Customer “Service”???"
"137","APPLE","Trang Phạm",2023-03-07,"3","Price is high and then when the new…"
"138","APPLE","Adrian Crick",2023-02-04,"2","Not good."
"139","APPLE","Mostafa Damghani",2023-02-23,"1","Just a bunch of thieves"
"140","APPLE","JM",2023-02-12,"1","Refused an $80 refund"
"141","APPLE","Fatima Salem",2023-02-04,"1","Stolen parcel from delivery driver"
"142","APPLE","Lance Kotter",2023-01-27,"1","Would you rather get an Apple product or poke your eyes out?"
"143","APPLE","Brian",2023-02-22,"1","Buy anyphone apart from an iPhone"
"144","APPLE","customer",2023-02-24,"1","Bought the new Apple Watch series 8 and…"
"145","APPLE","Neil Martin",2023-02-03,"1","ok why does apple suck"
"146","APPLE","AC BERLIN",2023-01-22,"1","I pay apple care plus and recently…"
"147","APPLE","Harry K",2023-02-21,"1","Apple Inc"
"148","APPLE","Bart Hopkins",2023-01-24,"5","Simply the Best"
"149","APPLE","Gabriel Ruas Santos Rocha",2023-01-23,"3","Bad Apple"
"150","APPLE","Anja Kavaz",2023-01-25,"1","I was going to buy some laptop and…"
"151","APPLE","Josephine J",2023-01-12,"3","Tired of updates ruining older version…"
"152","APPLE","Bradley Johnson",2023-02-08,"1","I called customer support to help me…"
"153","APPLE","Eladó Ruhák",2023-01-21,"2","Disvalued"
"154","APPLE","JustAlbin",2022-10-22,"1","Apple Watch had speaker problems which…"
"155","APPLE","Steve Dakers",2023-03-01,"1","Very poor customer service"
"156","APPLE","Richard",2023-02-08,"1","Password not working, but exists"
"157","APPLE","Pénélope",2023-01-24,"2","I recently purchased an Apple product…"
"158","APPLE","xiao yun",2023-02-03,"1","Unhappy with IPhone 14pro"
"159","APPLE","Irina",2023-01-24,"1","Awful experience with mac mini M2"
"160","APPLE","Disgruntled Apple customer",2023-01-27,"1","Apple ‘NO’ support"
"161","APPLE","Pike Conaway",2023-02-06,"1","Really?"
"162","APPLE","Apostolic Sioux falls sd",2023-02-01,"1","Apple is the worst company unreal"
"163","APPLE","Anna",2023-02-03,"1","Apple is the worse company"
"164","APPLE","Michael Raymond",2023-02-22,"1","APPLE IS THE WORST!!"
"165","APPLE","Micheal Sam Walsh",2023-02-03,"1","Bad Costumer Services"
"166","APPLE","Lightning McQuick",2023-02-05,"1","USELESS USELESS USELESS!!!"
"167","APPLE","Linda",2022-11-01,"1","DONT BUY APPLE WATCH"
"168","APPLE","Virginia Price",2023-01-04,"2","I was happy with the product"
"169","APPLE","Nell Lindsey",2023-02-02,"1","The worst phone service ever invented…"
"170","APPLE","Reviewer",2023-01-25,"1","Refuses to refund double even though they acknowledge that I was double charged!"
"171","APPLE","Ben",2022-11-26,"5","Best phones on the market"
"172","APPLE","Richard Johnson",2023-02-12,"1","iphone junk"
"173","APPLE","MRS KIM BALDWIN",2023-02-18,"1","Awful service"
"174","APPLE","Anna Lamoreaux",2023-02-05,"1","I was dumb enough to order an iPhone online"
"175","APPLE","Mike J",2023-01-20,"4","I recently bought an apple watch"
